EventID,TrackID,ParentID,ParticleName,Initial_Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ,GlobalTime_s,DeltaTime_s
19,2092,2086,gamma,0.126183,0.236527,-92.099900,0.179111,61.306986,-84.135159,0.089635,-0.872613,0.480117,1236.691885,0.000000
23,2020,2019,gamma,0.236047,0.720648,-92.099900,0.035208,85.115852,-111.519486,-0.365486,-0.926915,0.085141,2953.392324,0.000000
133,2049,1,gamma,0.589010,-0.188064,-92.099900,-0.127784,93.983937,-59.658476,0.503933,-0.860944,-0.069477,1359.124608,0.000000
399,2072,2044,gamma,0.287249,0.698324,-92.099900,-0.345948,89.280395,-95.583931,-0.097296,-0.995176,0.012559,686.731753,0.000000
545,1990,1,nu_mu,48.114158,-0.469136,-92.099900,-0.095861,118.995407,-43.956468,0.629638,-0.607111,-0.484740,2547.908337,0.000000
558,2060,2050,gamma,0.246151,-0.743509,-92.099900,0.166090,38.297610,-101.943824,-0.128258,-0.606329,0.784802,755.384570,0.000000
1121,2076,1,gamma,0.096512,-0.746991,-92.099900,0.102956,120.505976,-118.431148,-0.410198,-0.757661,-0.507628,690.668672,0.000000
1030,1998,1,gamma,0.128324,0.103227,-92.099900,-0.256921,66.527458,-89.694508,0.004891,-0.917238,0.398310,687.535578,0.000000
977,2118,1,gamma,0.147230,-0.677826,-92.099900,-0.128847,68.719576,-99.350824,-0.151401,-0.919433,0.362933,689.046538,0.000000
1091,2034,1,gamma,0.489692,-0.331519,-92.099900,0.282700,69.032913,-87.775708,0.036242,-0.933083,0.357832,687.721649,0.000000
1248,2055,2052,gamma,0.182516,0.415313,-92.099900,-0.113857,84.971745,-73.362094,0.285220,-0.954446,0.087647,3379.343530,0.000000
1393,2015,1,neutron,3.180165,-0.131562,-92.099900,-0.066101,56.790250,-100.657743,-0.154736,-0.822238,0.547706,2914.359131,0.000000
1842,2052,2028,gamma,0.064075,0.367921,-92.099900,0.036902,115.614223,-109.212799,-0.296738,-0.851502,-0.432310,1267.313537,0.000000
1868,1964,1,nu_mu,39.182889,-0.451228,-92.099900,-0.329839,89.261185,-119.248712,-0.488561,-0.872434,0.012894,1056.858620,0.000000
1779,2066,1,gamma,3.721530,-0.274857,-92.099900,-0.205684,87.841630,-129.222645,-0.631887,-0.774145,0.037662,872.523757,0.000000
1797,2051,1,gamma,0.052413,0.050689,-92.099900,-0.204580,93.831336,-77.288509,0.219550,-0.973310,-0.066820,689.527305,0.000000
1998,2115,1,e-,15.662839,0.195711,-92.099900,-0.016849,77.559631,-49.582357,0.633131,-0.743463,0.215423,789.782209,0.000000
1998,2118,2115,gamma,0.088025,0.209312,-92.099900,-0.186080,61.292317,-54.021678,0.515267,-0.709769,0.480341,833.509224,43.727015
2207,2025,1,gamma,0.107943,0.211342,-92.099900,-0.201444,76.319598,-118.148202,-0.458370,-0.856716,0.236506,688.860821,0.000000
2278,2069,1,gamma,0.133422,0.522065,-92.099900,0.092030,85.937708,-47.128162,0.678651,-0.731036,0.070841,691.697214,0.000000
2525,2056,1,gamma,0.128324,-0.230361,-92.099900,-0.208215,39.901958,-92.554795,-0.028594,-0.640838,0.767143,692.175487,0.000000
2449,2080,1,gamma,0.121320,0.668778,-92.099900,0.202244,132.288415,-118.692112,-0.355164,-0.648933,-0.672863,694.390576,0.000000
2666,2083,1,gamma,0.120887,-0.147755,-92.099900,0.151747,134.603391,-57.812674,0.379266,-0.602560,-0.702195,1500.126899,0.000000
2918,2046,1,nu_mu,37.148551,-0.265942,-92.099900,-0.311475,114.712257,-129.763691,-0.581045,-0.698292,-0.418061,1883.220138,0.000000
3035,2017,1,nu_mu,94.317018,0.732856,-92.099900,-0.232952,91.221877,-118.509653,-0.477198,-0.878537,-0.021324,1462.328987,0.000000
2951,2077,1,nu_mu,21.592560,0.062302,-92.099900,-0.243756,81.170368,-77.856121,0.207874,-0.966037,0.153497,1735.766729,0.000000
3206,2048,2035,neutron,0.341183,-0.090830,-92.099900,0.110797,89.043701,-69.191986,0.355188,-0.934646,0.016690,1103.783114,0.000000
3538,2071,1,nu_mu,94.031197,-0.735056,-92.099900,-0.038543,78.124166,-113.410705,-0.388815,-0.898038,0.205791,807.613563,0.000000
3367,2124,1,gamma,0.116401,-0.433889,-92.099900,-0.287796,64.215804,-138.987672,-0.679443,-0.590887,0.434983,695.131975,0.000000
3267,2096,1,e-,44.979334,-0.425920,-92.099900,-0.124348,49.314790,-116.326977,-0.336302,-0.679650,0.651903,2094.150451,0.000000
3573,2124,2099,gamma,0.151978,0.094549,-92.099900,-0.150619,79.922950,-82.670250,0.125611,-0.976528,0.174972,772.579594,0.000000
3573,2131,2098,gamma,0.937118,0.521767,-92.099900,0.165950,75.045622,-74.587119,0.256772,-0.931385,0.258050,772.283364,-0.296230
3736,2141,2100,neutron,0.522943,0.687717,-92.099900,-0.306232,92.939023,-86.503556,0.060906,-0.996826,-0.051273,1371.792432,0.000000
3665,2043,1,nu_mu,12.133205,0.544790,-92.099900,0.290223,83.662459,-135.508298,-0.708993,-0.696523,0.110386,1350.298460,0.000000
3858,2082,1911,gamma,0.193868,0.731780,-92.099900,0.233770,134.500599,-69.177891,0.253535,-0.666660,-0.700917,683.292890,0.000000
3692,2152,1,e-,25.802098,-0.593190,-92.099900,0.000079,94.550190,-43.940948,0.717786,-0.691730,-0.079332,3681.817320,0.000000
3692,2166,2152,gamma,0.091232,-0.540513,-92.099900,0.198893,91.371797,-42.597352,0.735917,-0.676648,-0.023940,3681.906791,0.089470
4000,2069,1,gamma,0.102925,0.280891,-92.099900,-0.254757,103.576205,-55.702636,0.547743,-0.803041,-0.234738,689.938156,0.000000
4305,1829,1,nu_mu,185.682743,-0.199065,-92.099900,0.253369,80.443100,-83.690348,0.108376,-0.980148,0.166027,684.465208,0.000000
4223,2072,1,nu_mu,92.421822,0.255134,-92.099900,-0.207506,84.721878,-85.424901,0.079427,-0.992587,0.091990,1230.558946,0.000000
4126,1,0,mu-,6.642455,-0.318120,-92.099900,-0.154555,107.648011,-94.431699,-0.073634,-0.950088,-0.303169,705.027195,0.000000
4126,2335,1,e-,0.087474,-0.329621,-92.099900,-0.149554,22.748911,-121.483007,-0.201949,-0.329770,0.922208,704.959829,-0.067366
4180,2042,2032,gamma,0.180933,0.447312,-92.099900,-0.109101,77.472608,-115.236636,-0.416207,-0.883019,0.216906,1206.775621,0.000000
4198,2160,2020,e+,0.283801,0.103218,-92.100100,-0.112289,132.544724,88.690944,0.016831,0.736557,-0.676166,2208.935871,0.000000
4600,2014,1,nu_mu,88.070074,0.335495,-92.099900,-0.318029,114.906863,-88.594743,0.022243,-0.906721,-0.421144,1069.119744,0.000000
